OBJECTID_1,NAME,Build_Weig,Id_Folder,Name_Folde,Date,Year_Month,X,Y
603,"Люблинская улица, 149",1,345,Дворец Культуры Астахова,2019-10-23,201910,37.742818,55.663497
607,,1,346,Усдьба ботанического сада,2019-10-25,201910,37.597021,55.834071
608,"Нахимовский проспект, 51/21",1,347,Библиотека ИНИОН,2019-11-08,201911,37.5638,55.67614
609,"улица Покровка, 13с1",2,348,Храм Троицы,2019-11-25,201911,37.644435,55.759431
610,"ул. Заречье, 7",1,349,Футбольный комплекс,2019-11-28,201911,37.773608,55.68929
611,,0,350,Ходынское поле,2019-11-28,201911,37.529629,55.786861
621,СЗХ_01,5,351,Северо-западная хорда,2020-01-27,202001,37.418836,55.702401
622,СЗХ_02,5,351,Северо-западная хорда,2020-01-29,202001,37.469712,55.769474
623,СЗХ_03,3,351,Северо-западная хорда,2020-01-30,202001,37.521266,55.817461
613,,4,352,Рабочий и колхозница,2019-12-31,201912,37.646428,55.828268
615,,1,353,Здания на Арбате,2020-01-14,202001,37.589693,55.748772
617,,6,354,Остров мечты,2020-01-15,202001,37.676674,55.694541
618,,3,355,Artplay,2020-01-16,202001,37.670047,55.753022
624,,1,356,Ленинградский проспект 18А,2020-01-31,202001,37.57708,55.782202
625,,0,357,Боткинская больница,2020-02-04,202002,37.552785,55.780999
628,,5,358,Южный дублер Кутузовского проспекта,2020-02-05,202002,37.469922,55.703601
629,,3,359,Станция Окружная,2020-02-13,202002,37.573438,55.847934
633,,3,360,ТЦ Колумбус,2020-03-24,202003,37.606979,55.612151
634,,4,361,Кожуховский_мост,2020-04-02,202004,37.68153,55.694769
638,,1,362,Скаковая_улица_3,2020-05-14,202005,37.566859,55.783311
640,усадьба боткиных,1,363,Усадьба_Боткиной,2020-06-11,202006,37.64813,55.759992
637,Храм Тихвинской Иконы Божией Матери в Алексеевском,2,364,Храм_в_Алексеевском,2020-06-09,202006,37.64422,55.818096
